One,Two,Three,a
1.91E-06,-0.082582153,-3.333140701,0.3
4.64E-07,-0.079619184,-3.333582473,0.301
3.15E-07,-0.076699274,-3.3339271,0.302
-2.09E-07,-0.073825344,-3.334219454,0.303
1.28E-07,-0.070995162,-3.334479273,0.304
-2.15E-06,-0.068215755,-3.334612844,0.305
-3.28E-06,-0.065470161,-3.334794661,0.306
-3.29E-06,-0.062768178,-3.334910861,0.307
-3.31E-06,-0.06010571,-3.334985072,0.308
1.04E-06,-0.057475227,-3.335040059,0.309
1.26E-08,-0.054891596,-3.335060905,0.31
-3.60E-06,-0.052342209,-3.33496827,0.311
-1.99E-06,-0.049830703,-3.33486589,0.312
-2.47E-06,-0.047344192,-3.334781743,0.313
-9.05E-07,-0.044894295,-3.334649301,0.314
-1.69E-06,-0.042477426,-3.334452025,0.315
-3.85E-06,-0.040094918,-3.33418888,0.316
-3.66E-06,-0.037737722,-3.333939142,0.317
-3.66E-06,-0.035411783,-3.333652887,0.318
-3.66E-06,-0.033114565,-3.333335634,0.319
-3.66E-06,-0.030845314,-3.332988142,0.32
-3.67E-06,-0.028603301,-3.332611146,0.321
-6.20E-07,-0.026382712,-3.33225453,0.322
1.00E-06,-0.024190112,-3.331789168,0.323
2.54E-07,-0.02202741,-3.331365473,0.324
-1.68E-07,-0.019889516,-3.330886696,0.325
-2.65E-06,-0.017776589,-3.330337375,0.326
3.93E-07,-0.015681932,-3.329839884,0.327
7.70E-07,-0.013612667,-3.329279314,0.328
-1.94E-06,-0.011567894,-3.328650734,0.329
-1.93E-06,-0.009542411,-3.328036262,0.33
-1.97E-06,-0.007538434,-3.327400253,0.331
-2.68E-06,-0.005554827,-3.326733446,0.332
-2.69E-06,-0.003591895,-3.326051178,0.333
-2.60E-06,-0.001648862,-3.325347171,0.334
2.52E-06,-0.000557252,-3.323907213,0.335
-1.28E-07,-0.004511547,-3.317664236,0.336
-9.24E-07,-0.008683691,-3.311245133,0.337
2.86E-06,-0.013088849,-3.304660882,0.338
4.72E-07,-0.017767947,-3.297678782,0.339
2.60E-06,-0.0227357,-3.290526925,0.34
2.16E-06,-0.028049051,-3.282960504,0.341
6.39E-06,-0.033749224,-3.274988427,0.342
-3.73E-07,-0.039895068,-3.266627848,0.343
-5.99E-08,-0.04656609,-3.257714416,0.344
2.22E-06,-0.053861075,-3.248158537,0.345
1.98E-06,-0.061898002,-3.237874974,0.346
1.76E-06,-0.070860973,-3.22668693,0.347
2.26E-06,-0.080945018,-3.214345122,0.348
-5.20E-06,-0.09252547,-3.200522333,0.349
-9.04E-07,-0.106082463,-3.184721612,0.35
4.58E-06,-0.122444965,-3.166104739,0.351
-4.63E-06,-0.143037389,-3.143252976,0.352
3.48E-06,-0.170860861,-3.113241955,0.353
8.86E-07,-0.213809435,-3.067995162,0.354
6.63E-06,-0.312248835,-2.967303602,0.355
1.44E-06,-0.28547456,-2.991842248,0.356
6.48E-07,-0.204582672,-3.070510917,0.357
-2.86E-06,-0.16486156,-3.107984129,0.358
1.53E-06,-0.138299943,-3.132325636,0.359
3.66E-06,-0.118277024,-3.150139052,0.36
3.96E-06,-0.102201471,-3.163979348,0.361
4.59E-06,-0.088754238,-3.175196729,0.362
1.01E-06,-0.077204434,-3.184467242,0.363
2.35E-07,-0.067049329,-3.192398916,0.364
2.96E-06,-0.058034432,-3.199159637,0.365
3.02E-06,-0.04988446,-3.205076898,0.366
2.89E-06,-0.042459119,-3.210267094,0.367
2.95E-06,-0.035637827,-3.214854447,0.368
8.90E-06,-0.029323509,-3.219016989,0.369
4.83E-06,-0.023454081,-3.222606792,0.37
5.56E-06,-0.017965275,-3.225833617,0.371
4.12E-06,-0.012795046,-3.228782875,0.372
-1.97E-06,-0.007933174,-3.231408445,0.373
-1.30E-06,-0.003336147,-3.233805262,0.374
-6.04E-06,-0.002157481,-3.232660939,0.375
3.72E-08,-0.012627015,-3.219735428,0.376
-6.60E-06,-0.027156764,-3.202732327,0.377
-7.19E-06,-0.050766164,-3.176645536,0.378
-7.49E-06,-0.118140905,-3.106804785,0.379
-6.86E-06,-0.068645281,-3.153837189,0.38
-8.31E-06,-0.034773931,-3.185219946,0.381
-1.31E-06,-0.016338787,-3.201169908,0.382
1.68E-06,-0.003532941,-3.211518541,0.383
-1.59E-06,-0.023920701,-3.18873078,0.384
1.49E-06,-0.004038232,-3.206299516,0.385
