a,DIV,LAM,Vmax,VENTR,Lmax,MRT,NMPRT,RR,RTE,TT,L,ENTR,DET,TREND
0.3,0.003891051,0,0,NaN,257,44.67629428,892,0.020424729,1.172376941,0,65.8,2.171570897,0.91219963,-0.019060772
0.3,0.003891051,0,0,NaN,257,44.77711172,888,0.020424729,1.178568628,0,65.6,2.079151273,0.909426987,-0.01976895
0.3,0.003891051,0,0,NaN,257,44.56948229,890,0.020424729,1.171829745,0,65.8,2.118649247,0.91219963,-0.020108252
0.3,0.003891051,0,0,NaN,257,44.44517185,885,0.020405852,1.17542694,0,65.46666667,1.898926789,0.908418131,-0.022050637
0.3,0.003891051,0,0,NaN,257,44.60229133,885,0.020405852,1.178209045,0,65.46666667,1.898926789,0.908418131,-0.022050637
0.3,0.003891051,0,0,NaN,257,44.67504096,882,0.020386975,1.187552015,0,61,2.014035524,0.903703704,-0.022945543
0.3,0.003891051,0,0,NaN,257,44.77141298,882,0.020405852,1.191336278,0,61.0625,1.834609634,0.903792784,-0.023112903
0.3,0.003891051,0,0,NaN,257,44.88913162,886,0.020386975,1.189681105,0,57.47058824,2.119280922,0.90462963,-0.020850584
0.3,0.003891051,0,0,NaN,257,44.84434735,888,0.020386975,1.185602182,0,61.125,1.894689117,0.905555556,-0.020496495
0.3,0.003891051,0,0,NaN,257,44.7766248,890,0.020386975,1.179901953,0,61.375,1.927392126,0.909259259,-0.019788317
0.3,0.003891051,0,0,NaN,257,44.69142545,892,0.020386975,1.167858891,0,65.8,2.171570897,0.913888889,-0.018726051
0.3,0.003891051,0,0,NaN,257,44.32861035,892,0.020424729,1.165180445,0,65.66666667,2.079151273,0.910351201,-0.019414861
0.3,0.003891051,0,0,NaN,257,44.43426077,889,0.020405852,1.170348154,0,65.4,2.079151273,0.907493062,-0.019955678
0.3,0.003891051,0,0,NaN,257,44.39564033,885,0.020424729,1.175609839,0,65.46666667,1.898926789,0.907578558,-0.022217998
0.3,0.003891051,0,0,NaN,257,44.53518822,882,0.020405852,1.183822085,0,61.0625,1.834609634,0.903792784,-0.023112903
0.3,0.003891051,0,0,NaN,257,44.86142935,886,0.020405852,1.189129266,0,57.47058824,2.119280922,0.903792784,-0.021017944
0.3,0.003891051,0,0,NaN,257,44.76050191,886,0.020405852,1.188633281,0,61.0625,1.834609634,0.903792784,-0.021017944
0.3,0.003891051,0,0,NaN,257,44.79901693,889,0.020386975,1.181388379,0,65.4,2.079151273,0.908333333,-0.019788317
0.3,0.003891051,0,0,NaN,257,44.74276352,889,0.020386975,1.180469127,0,65.46666667,1.898926789,0.909259259,-0.019788317
